#{"t_start": 1684881915.4456546, "env_id": "CarRacing-v2"}
r,l,t
-72.508591,1000,32.470276
-67.032967,1000,73.154292
-78.647687,1000,112.239802
-74.358974,1000,148.591883
-65.870307,1000,186.391915
-71.428571,1000,227.510993
-67.272727,1000,274.07523
-77.491961,1000,340.060258
-70.260223,1000,378.70404
-75.708502,1000,414.315548
-93.589744,1000,444.665183
-93.82716,1000,478.89349
-93.730408,1000,505.900946
-92.70073,1000,536.628268
-92.70073,1000,566.139287
